ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.144,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.145,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.146,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.147,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.148,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.149,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.150,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.151,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.152,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.153,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.154,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.155,⸖,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.156,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.157,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.158,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.159,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.160,⸖,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.161,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.162,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.163,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.164,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.165,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.166,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.167,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.168,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.169,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.170,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.171,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.172,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.173,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.174,⸖,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.175,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.176,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.177,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.178,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.179,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.180,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.181,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.182,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.183,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.184,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.185,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.186,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.187,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.188,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.189,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.190,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.191,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.192,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.193,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.194,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.195,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.196,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.197,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.198,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.199,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.200,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.201,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.202,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.203,none,f,f
