AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_19_62,urn:cts:greekLit:tlg5026.msAim.hmt:18.38,"λιτη",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.352
urn:cite:hmt:reuse.18_19_63,urn:cts:greekLit:tlg5026.msAim.hmt:18.40,"δύσονται ἀγῶνα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.376
urn:cite:hmt:reuse.18_19_64,urn:cts:greekLit:tlg5026.msAim.hmt:18.41,"δαίδαλα πάντπάντα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.400
urn:cite:hmt:reuse.18_19_65,urn:cts:greekLit:tlg5026.msAim.hmt:18.42,"ζωάγρια",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.407
urn:cite:hmt:reuse.18_19_66,urn:cts:greekLit:tlg5026.msAim.hmt:18.43,"ἁραιαί",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.411
urn:cite:hmt:reuse.18_19_67,urn:cts:greekLit:tlg5026.msAim.hmt:18.45,"ἀνώγει",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.426
urn:cite:hmt:reuse.18_19_68,urn:cts:greekLit:tlg5026.msAim.hmt:18.47,"παρέξομαι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.466
urn:cite:hmt:reuse.18_19_69,urn:cts:greekLit:tlg5026.msAim.hmt:18.48,"πάσαιπᾶσαι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.470
urn:cite:hmt:reuse.18_19_70,urn:cts:greekLit:tlg5026.msAim.hmt:18.49,"μὴ σπευδοντσπεύδοντι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_19_71,urn:cts:greekLit:tlg5026.msAim.hmt:18.50,"αὐτοῦ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.481
urn:cite:hmt:reuse.18_19_72,urn:cts:greekLit:tlg5026.msAim.hmt:18.51,"τείρεα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.485
urn:cite:hmt:reuse.18_19_73,urn:cts:greekLit:tlg5026.msAim.hmt:18.52,"ἐς θαλαμους",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.492
urn:cite:hmt:reuse.18_19_74,urn:cts:greekLit:tlg5026.msAim.hmt:18.54,"αποδοῦναι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.499
urn:cite:hmt:reuse.18_19_75,urn:cts:greekLit:tlg5026.msAim.hmt:18.55,"ἀμφοτερωθἀμφοτέρωθεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.502
urn:cite:hmt:reuse.18_19_76,urn:cts:greekLit:tlg5026.msAim.hmt:18.55,"ἀμφοτέρωθἀμφοτέρωθενἐπίπνυον αμφις αρωγοι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.502
