urn:cite:hmt:reuse.cit_37,urn:cts:greekLit:tlg5026.msA.hmt:18.89,"οὐδέ τι οἶδε νοῆσαι ἅμα πρόσσω καὶ οπίσσω",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.343"
urn:cite:hmt:reuse.cit_38,urn:cts:greekLit:tlg5026.msA.hmt:18.91,"μοῖραν δὲ οὕ τινα φημὶ πεφυγμένον ἔμμεναι ἀνδρῶν οὐ κακὸν οὐδε μὲν ἐσθλὸν ἐπὴν τὰ πρῶτα γένηται",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:6.488-6.489"
urn:cite:hmt:reuse.cit_39,urn:cts:greekLit:tlg5026.msA.hmt:18.92,"ὁ δὲ φῆ κώδειαν ἀνασχών πέφραδέ τε Τρώεσσι καὶ εὐχόμενος ἔπος ηύδα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012:tlg001:14.499-14.500"
urn:cite:hmt:reuse.cit_40,urn:cts:greekLit:tlg5026.msA.hmt:18.96,"ἀμυνέμεναι ώρεσσι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:5.486"
urn:cite:hmt:reuse.cit_41,urn:cts:greekLit:tlg5026.msA.hmt:18.103,"τὴν δ' ἐγὼ οὐ λύσω πρίν μιν καὶ γῆρας ἔπεισιν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.29"
urn:cite:hmt:reuse.cit_42,urn:cts:greekLit:tlg5026.msA.hmt:18.104,"Λαοδάμα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:8.141"
urn:cite:hmt:reuse.cit_43,urn:cts:greekLit:tlg5026.msA.hmt:18.106,"τα φρονέων δῶρα κατατρύχκατατρύχω",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:17.225-17.226"
urn:cite:hmt:reuse.cit_44,urn:cts:greekLit:tlg5026.msA.hmt:18.111,"ἐπιμὶξ δέ τε μαίνεται Ἄρης",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:11.537"
urn:cite:hmt:reuse.cit_45,urn:cts:greekLit:tlg5026.msA.hmt:18.118,"ὅς κ' ὀστέα παισὶν ἕκαστος οἴκαδ' ἄγει",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:7.334-7.335"
urn:cite:hmt:reuse.cit_46,urn:cts:greekLit:tlg5026.msA.hmt:18.120,"φωτί",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:3.219"
urn:cite:hmt:reuse.cit_47,urn:cts:greekLit:tlg5026.msA.hmt:18.120,"παντί",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:2.108"
urn:cite:hmt:reuse.cit_48,urn:cts:greekLit:tlg5026.msA.hmt:18.120,"λιτὰλῖτα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:8.441"
urn:cite:hmt:reuse.cit_49,urn:cts:greekLit:tlg5026.msA.hmt:18.120,"κάθηράν τε ῥύπα πάντα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:6.93"
urn:cite:hmt:reuse.cit_50,urn:cts:greekLit:tlg5026.msA.hmt:18.120,"τινά",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.62"
urn:cite:hmt:reuse.cit_51,urn:cts:greekLit:tlg5026.msA.hmt:18.122,"οὐκ ὄφελον Τρώεσσι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:18.376"
urn:cite:hmt:reuse.cit_52,urn:cts:greekLit:tlg5026.msA.hmt:18.125,"ταλαρόν θ' ὑπόκυκλον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:4.131"
urn:cite:hmt:reuse.cit_53,urn:cts:greekLit:tlg5026.msA.hmt:18.128,"ὃς τὸ μὲν ἄλλο τόσον φοίνικι ἠνία",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:23.454"
urn:cite:hmt:reuse.cit_54,urn:cts:greekLit:tlg5026.msA.hmt:18.128,"τοῦ δὲ καὶ ἄλλο τόσον μὲν ἔχε χρόα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:22.322"
urn:cite:hmt:reuse.cit_55,urn:cts:greekLit:tlg5026.msA.hmt:18.130,"ἐκείνος γ' ἔχθων τὸν εμὸν βίον ἀμφιπολεύει",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg:002:19.127"
urn:cite:hmt:reuse.cit_56,urn:cts:greekLit:tlg5026.msA.hmt:18.133,"ἀμφί σταθ' οὕτως",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg002:6.218"
urn:cite:hmt:reuse.cit_57,urn:cts:greekLit:tlg5026.msA.hmt:18.134,"Πλάτων νύ τι σεῖο χατίζει",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0004.tlg001:3.5"
urn:cite:hmt:reuse.cit_58,urn:cts:greekLit:tlg5026.msA.hmt:18.137,"οἱ χρυσῷ τε καὶ ἀργύρῳ ἐσφήκοντο",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:17.52"
urn:cite:hmt:reuse.cit_59,urn:cts:greekLit:tlg5026.msA.hmt:18.141,"ἀμφυγυήεις",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.607"
urn:cite:hmt:reuse.cit_60,urn:cts:greekLit:tlg5026.msA.hmt:18.141,"θάρσος ἄητον ἔχουσα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:21.395"
urn:cite:hmt:reuse.cit_61,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"θάρσος ἄητον ἐχουσα",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:21.395"
urn:cite:hmt:reuse.cit_62,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄητον",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:21.395"
urn:cite:hmt:reuse.cit_63,urn:cts:greekLit:tlg5026.msA.hmt:18.144,"πέλωρ αίητον ἀνέστη",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:18.410"
urn:cite:hmt:reuse.cit_64,urn:cts:greekLit:tlg5026.msA.hmt:18.144,"στησαμένη μέγαν ἱστόν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg0022.94"
urn:cite:hmt:reuse.cit_65,urn:cts:greekLit:tlg5026.msA.hmt:18.149,"κούρην ἣν ἄρα μοι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:16.56"
urn:cite:hmt:reuse.cit_66,urn:cts:greekLit:tlg5026.msA.hmt:18.151,"ᾠχόμεθ' ἐς Θήβην ἱερὴν ποπόλιν",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.366"
urn:cite:hmt:reuse.cit_67,urn:cts:greekLit:tlg5026.msA.hmt:18.153,"τίμησόν μοι υἱὸν ὡς ὠκυμορώτατος ἄλλων ἔπλετο",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:1.505-1.506"
urn:cite:hmt:reuse.cit_68,urn:cts:greekLit:tlg5026.msA.hmt:18.167,"ΠληϊάδωνἌτληγενέων ἐπιτελλομενάων. ἄρχεσθ' ἀμήτοιο· ἀρότροιο δὲ δυσομενάων.",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0020.tlg002:383-384"
urn:cite:hmt:reuse.cit_69,urn:cts:greekLit:tlg5026.msA.hmt:18.167,"αἱ δή τοι νύκτας τε καὶ ἥματα τεσσαράκοντα κεκρύφαται",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0020.tlg002:385-386"
urn:cite:hmt:reuse.cit_70,urn:cts:greekLit:tlg5026.msA.hmt:18.169,"τιλλέσθην ἐπ αμαξαι",urn:cite:hmt:reusetype.quote1,"urn:cts:greekLit:tlg0012.tlg001:24.711"
