AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_26,urn:cts:greekLit:tlg5026.msAint.hmt:18.40,"ᾀδων ὑπ αυλητηρος",urn:cite:hmt:reusetype.quote2,urn:cts:greekLit:tlg0012.tlg001.msA:18.492
urn:cite:hmt:reuse.18_27,urn:cts:greekLit:tlg5026.msAint.hmt:18.44,"ρύατο",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.515
urn:cite:hmt:reuse.18_28,urn:cts:greekLit:tlg5026.msAint.hmt:18.46,"τερπομέτερπομένω",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.526
urn:cite:hmt:reuse.18_29,urn:cts:greekLit:tlg5026.msAint.hmt:18.47,"είμα τ' ἔχε",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.538
urn:cite:hmt:reuse.18_30,urn:cts:greekLit:tlg5026.msAint.hmt:18.48,"τέμενος βαθὺ λήϊον",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.550
urn:cite:hmt:reuse.18_31,urn:cts:greekLit:tlg5026.msAint.hmt:18.49,"εστήκει",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.557
urn:cite:hmt:reuse.18_32,urn:cts:greekLit:tlg5026.msAint.hmt:18.50,"ταλάροισι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.568
urn:cite:hmt:reuse.18_33,urn:cts:greekLit:tlg5026.msAint.hmt:18.50,"πλεκτοῖσι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.18.568
urn:cite:hmt:reuse.18_34,urn:cts:greekLit:tlg5026.msAint.hmt:18.51,"ραδαλὸν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.576
urn:cite:hmt:reuse.18_35,urn:cts:greekLit:tlg5026.msAint.hmt:18.54,"ὡς",urn:cite:hmt:reusetype.langusage,urn:cite:hmt:reusetype.multiform1
urn:cite:hmt:reuse.18_36,urn:cts:greekLit:tlg5026.msAint.hmt:18.55,"τεύχεα καλὰ φέρουσα πάρ Ἡφαίστοιο ἄνακτος",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.617
urn:cite:hmt:reuse.18_37,urn:cts:greekLit:tlg5026.msAil.hmt:18.24,"αρεσθαι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.501
urn:cite:hmt:reuse.18_38,urn:cts:greekLit:tlg5026.msAil.hmt:18.25,"ναὶ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_39,urn:cts:greekLit:tlg5026.msAil.hmt:18.25,"οὐ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_41,urn:cts:greekLit:tlg5026.msAim.hmt:18.4,"ἀπαμησειε",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_42,urn:cts:greekLit:tlg5026.msAim.hmt:18.5,"Άλεια",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_43,urn:cts:greekLit:tlg5026.msAim.hmt:18.5,"άλα",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_44,urn:cts:greekLit:tlg5026.msAim.hmt:18.6,"ἐπι κήδεα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_45,urn:cts:greekLit:tlg5026.msAim.hmt:18.7,"εἰς ἀνέβησαν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_46,urn:cts:greekLit:tlg5026.msAim.hmt:18.8,"κεφαλῇ",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_47,urn:cts:greekLit:tlg5026.msAim.hmt:18.11,"τὸν δ' ἠμείβετ' ἔπειτα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_48,urn:cts:greekLit:tlg5026.msAim.hmt:18.13,"Ἄρεω",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_49,urn:cts:greekLit:tlg5026.msAim.hmt:18.14,"ὑφ' Έκτορος δίου",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_50,urn:cts:greekLit:tlg5026.msAim.hmt:18.16,"αδινᾷ",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_51,urn:cts:greekLit:tlg5026.msAim.hmt:18.18,"υἱὸς εηος",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_52,urn:cts:greekLit:tlg5026.msAim.hmt:18.19,"ἀγορεῦσαι",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_53,urn:cts:greekLit:tlg5026.msAim.hmt:18.21,"ἄνωγεν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_54,urn:cts:greekLit:tlg5026.msAim.hmt:18.23,"ὡς ορος τὸν Όλυμπον ἀγάννιφον",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_55,urn:cts:greekLit:tlg5026.msAim.hmt:18.24,"Άρεω",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_57,urn:cts:greekLit:tlg5026.msAim.hmt:18.26,"ξίφεσσι",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_58,urn:cts:greekLit:tlg5026.msAim.hmt:18.28,"ἠέλιον μὲν έπειτα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_59,urn:cts:greekLit:tlg5026.msAim.hmt:18.29,"ἐπι θρωσμῷ πεδίοιο",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_60,urn:cts:greekLit:tlg5026.msAim.hmt:18.31,"μαχέσσετμαχέσσεται",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_61,urn:cts:greekLit:tlg5026.msAim.hmt:18.33,"πιθοίμεθα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_62,urn:cts:greekLit:tlg5026.msAim.hmt:18.34,"κεκόρησθον",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_63,urn:cts:greekLit:tlg5026.msAim.hmt:18.36,"μετεφώνεε",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_64,urn:cts:greekLit:tlg5026.msAim.hmt:18.38,"λιτη",,
urn:cite:hmt:reuse.18_65,urn:cts:greekLit:tlg5026.msAim.hmt:18.40,"δύσονται ἀγῶνα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_66,urn:cts:greekLit:tlg5026.msAim.hmt:18.41,"δαίδαλα πάντπάντα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_67,urn:cts:greekLit:tlg5026.msAim.hmt:18.42,"ζωάγρια",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_68,urn:cts:greekLit:tlg5026.msAim.hmt:18.43,"ἁραιαί",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_69,urn:cts:greekLit:tlg5026.msAim.hmt:18.45,"ἀνώγει",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_70,urn:cts:greekLit:tlg5026.msAim.hmt:18.47,"παρέξομαι",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_71,urn:cts:greekLit:tlg5026.msAim.hmt:18.48,"πάσαιπᾶσαι",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_72,urn:cts:greekLit:tlg5026.msAim.hmt:18.49,"μὴ σπευδοντσπεύδοντι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_73,urn:cts:greekLit:tlg5026.msAim.hmt:18.50,"αὐτοῦ",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_75,urn:cts:greekLit:tlg5026.msAim.hmt:18.51,"τείρεα",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_76,urn:cts:greekLit:tlg5026.msAim.hmt:18.52,"ἐς θαλαμους",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_77,urn:cts:greekLit:tlg5026.msAim.hmt:18.54,"αποδοῦναι",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_80,urn:cts:greekLit:tlg5026.msAim.hmt:18.55,"ἀμφοτερωθἀμφοτέρωθεν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_81,urn:cts:greekLit:tlg5026.msAim.hmt:18.55,"ἀμφοτέρωθἀμφοτέρωθεν ἐπίπνυον αμφις αρωγοι",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_82,urn:cts:greekLit:tlg5026.msAim.hmt:18.57,"ἀμοιβηδὸν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_83,urn:cts:greekLit:tlg5026.msAim.hmt:18.58,"πῶυι μεγ οιων",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.528
urn:cite:hmt:reuse.18_84,urn:cts:greekLit:tlg5026.msAim.hmt:18.60,"τεθνῃωττεθνῃῶτα",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_85,urn:cts:greekLit:tlg5026.msAim.hmt:18.62,"τέτυκτο",urn:cite:hmt:reusetype.quote1,
urn:cite:hmt:reuse.18_86,urn:cts:greekLit:tlg5026.msAim.hmt:18.66,"ἀργυρέοισιν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_87,urn:cts:greekLit:tlg5026.msAim.hmt:18.67,"ἐς αυτήν",urn:cite:hmt:reusetype.multiform1,
urn:cite:hmt:reuse.18_88,urn:cts:greekLit:tlg5026.msAim.hmt:18.69,"δύο πρωτησι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.579
urn:cite:hmt:reuse.18_89,urn:cts:greekLit:tlg5026.msAim.hmt:18.71,"Αριηδῃ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.592
urn:cite:hmt:reuse.18_90,urn:cts:greekLit:tlg5026.msAim.hmt:18.72,"καλὰς οθόνας",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.595
urn:cite:hmt:reuse.18_91,urn:cts:greekLit:tlg5026.msAim.hmt:18.74,"ὅμιλος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.603
urn:cite:hmt:reuse.18_92,urn:cts:greekLit:tlg5026.msA.hmt:18.8,"χερσὶν ὑπο Τρώων",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.11
urn:cite:hmt:reuse.18_93,urn:cts:greekLit:tlg5026.msA.hmt:18.9,"Μυρμιδόνων τὸν ἄριστον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.10
urn:cite:hmt:reuse.18_94,urn:cts:greekLit:tlg5026.msA.hmt:18.12,"ἀψ ἐπι νηας ϊέναι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.14
urn:cite:hmt:reuse.18_95,urn:cts:greekLit:tlg5026.msA.hmt:18.15,"σκυλεύσας τὰ ὄπλα ἔχει",urn:cite:hmt:reusetype.quote3,urn:cts:greekLit:tlg0012.tlg001.msA:18.21
urn:cite:hmt:reuse.18_96,urn:cts:greekLit:tlg5026.msA.hmt:18.18,"ἡρωϊστί",urn:cite:hmt:reusetype.quote2,urn:cts:greekLit:tlg0012.tlg001.msA:18.26
urn:cite:hmt:reuse.18_96,urn:cts:greekLit:tlg5026.msA.hmt:18.18,"ἡρωϊστί",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_97,urn:cts:greekLit:tlg5026.msA.hmt:18.18,"ταχέως",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_98,urn:cts:greekLit:tlg5026.msA.hmt:18.21,"ἄλλαι δ' αἳ κατα βένθος ἁλὸς Νηρηϊδες ἦσαν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.49
urn:cite:hmt:reuse.18_99,urn:cts:greekLit:tlg5026.msA.hmt:18.21,"ἔνθα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.39
urn:cite:hmt:reuse.18_100,urn:cts:greekLit:tlg5026.msA.hmt:18.22,"Γλαύκη",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.39
urn:cite:hmt:reuse.18_101,urn:cts:greekLit:tlg5026.msA.hmt:18.22,"Νημερτής τε καὶ Ἀψευδής",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.46
urn:cite:hmt:reuse.18_103,urn:cts:greekLit:tlg5026.msA.hmt:18.33,"ἀλῆναι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_104,urn:cts:greekLit:tlg5026.msA.hmt:18.33,"ἀλήμεναι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.76
urn:cite:hmt:reuse.18_105,urn:cts:greekLit:tlg5026.msA.hmt:18.34,"παθέειν τ' ἀεκήλια ἔργα·",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.77
urn:cite:hmt:reuse.18_106,urn:cts:greekLit:tlg5026.msA.hmt:18.34,"ἀεκήλια",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.77
urn:cite:hmt:reuse.18_110,urn:cts:greekLit:tlg5026.msA.hmt:18.35,"αίθ' ὄφελες",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.86
urn:cite:hmt:reuse.18_111,urn:cts:greekLit:tlg5026.msA.hmt:18.36,"ἵνα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.88
urn:cite:hmt:reuse.18_112,urn:cts:greekLit:tlg5026.msA.hmt:18.36,"ἀποφθιμένοιο",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.89
urn:cite:hmt:reuse.18_113,urn:cts:greekLit:tlg5026.msA.hmt:18.36,"ἀνέρος ἔμβαλον εὐνῇ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.85
urn:cite:hmt:reuse.18_114,urn:cts:greekLit:tlg5026.msA.hmt:18.37,"ἀπο",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.92
urn:cite:hmt:reuse.18_115,urn:cts:greekLit:tlg5026.msA.hmt:18.37,"ὑπ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.92
urn:cite:hmt:reuse.18_116,urn:cts:greekLit:tlg5026.msA.hmt:18.38,"αὐτίκα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.98
urn:cite:hmt:reuse.18_117,urn:cts:greekLit:tlg5026.msA.hmt:18.40,"Ἄρεω",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_118,urn:cts:greekLit:tlg5026.msA.hmt:18.40,"ἀρῆς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_119,urn:cts:greekLit:tlg5026.msA.hmt:18.40,"ἀρῆς ἀλκτῆρα",urn:cite:hmt:reusetype.quote2,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_120,urn:cts:greekLit:tlg5026.msA.hmt:18.41,"Ἄρεω ἀλκτῆρα",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_121,urn:cts:greekLit:tlg5026.msA.hmt:18.41,"εδησεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.100
urn:cite:hmt:reuse.18_122,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' ἐπεὶ οὐ νεομαί γε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.101
urn:cite:hmt:reuse.18_123,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' εἰμ' ὄφρα φίλης κεφαλῆς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.114
urn:cite:hmt:reuse.18_124,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"αμείνονές εἰσὶ καὶ ἄλλοι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.106
urn:cite:hmt:reuse.18_125,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"ὡς ἐρις ἔκ τε θέωνθεῶν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.107
urn:cite:hmt:reuse.18_126,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' ἐπεὶ οὐ νέομαι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.101
urn:cite:hmt:reuse.18_127,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' εῖμ' ὄφρα φίλης κεφαλῆς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.114
urn:cite:hmt:reuse.18_130,urn:cts:greekLit:tlg5026.msA.hmt:18.44,"καὶ χόλος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.108
urn:cite:hmt:reuse.18_132,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"χάλκεα",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.131
urn:cite:hmt:reuse.18_133,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"ἐτήτυμον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.128
urn:cite:hmt:reuse.18_134,urn:cts:greekLit:tlg5026.msA.hmt:18.57,"ἀγορεῦσαι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.142
urn:cite:hmt:reuse.18_135,urn:cts:greekLit:tlg5026.msA.hmt:18.60,"Ἕκτωρ τὲ Πριάμοιοσὺῒ ΐκελος ἀλκὴνἀλκήν, ὅς μιν τρὶς μετόπισθε ποδῶν λάβε καὶ μέγ' ἀϋτει ἐλκέμεναι μεμαώς κεφαλὴν δέ ἑ θυμὸς ἀνώγει πῆξαι ἀνα σκόλοπας οἳ τάμονθ' ἁπαλῆς ἀπο δειρῆς",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.154-158
urn:cite:hmt:reuse.18_136,urn:cts:greekLit:tlg5026.msA.hmt:18.61,"μέγα ἀχεων",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.160
urn:cite:hmt:reuse.18_137,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθεσθαι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_138,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίημι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_139,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίεσαν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_140,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"ἐτίθεσαν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_142,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθενται",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_143,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθεσθαι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_144,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίενται",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_145,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίεσθαι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_146,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"Πατρόκλου ἐπάμυνον",Literally quoted multiform of a given passage,urn:cts:greekLit:tlg0012.tlg001.msA:18.171
urn:cite:hmt:reuse.18_147,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"περι",urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.18_148,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"Ἴ̈λιον αἰπὺ θέλοντες·",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.174
urn:cite:hmt:reuse.18_149,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"ελκέμεναι μέμονεν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.176
urn:cite:hmt:reuse.18_150,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"πῆξαι ἀνα σκολότεσσιν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.177
urn:cite:hmt:reuse.18_151,urn:cts:greekLit:tlg5026.msA.hmt:18.66,"τίς τάρ σε",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.182
urn:cite:hmt:reuse.18_154,urn:cts:greekLit:tlg5026.msA.hmt:18.70,"αυτὸς",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.198
urn:cite:hmt:reuse.18_155,urn:cts:greekLit:tlg5026.msA.hmt:18.73,"ὡς δ' ὅτε πῦρ ἐπι πόντον ἀριπρεπὲς αἰθέρ' ἴ̈κηται",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.207
urn:cite:hmt:reuse.18_156,urn:cts:greekLit:tlg5026.msA.hmt:18.75,"νήσου",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.208
urn:cite:hmt:reuse.18_157,urn:cts:greekLit:tlg5026.msA.hmt:18.76,"νόμιμος",urn:cite:hmt:reusetype.langusage,
